Function: pow_related_errors_001, Start Line: 8, End Line: 16 
Function: pow_related_errors_002, Start Line: 23, End Line: 31 
Function: pow_related_errors_003, Start Line: 39, End Line: 51 
Function: pow_related_errors_004, Start Line: 58, End Line: 73 
Function: pow_related_errors_005, Start Line: 80, End Line: 95 
Function: pow_related_errors_006_func_001, Start Line: 102, End Line: 106 
Function: pow_related_errors_006, Start Line: 108, End Line: 115 
Function: pow_related_errors_007, Start Line: 127, End Line: 141 
Function: pow_related_errors_008, Start Line: 149, End Line: 157 
Function: pow_related_errors_009, Start Line: 164, End Line: 171 
Function: pow_related_errors_010, Start Line: 178, End Line: 185 
Function: pow_related_errors_011, Start Line: 192, End Line: 199 
Function: pow_related_errors_012, Start Line: 206, End Line: 214 
Function: pow_related_errors_013, Start Line: 221, End Line: 229 
Function: pow_related_errors_014, Start Line: 236, End Line: 244 
Function: pow_related_errors_015, Start Line: 251, End Line: 259 
Function: pow_related_errors_016, Start Line: 266, End Line: 274 
Function: pow_related_errors_017, Start Line: 281, End Line: 289 
Function: pow_related_errors_018, Start Line: 296, End Line: 304 
Function: pow_related_errors_019, Start Line: 311, End Line: 319 
Function: pow_related_errors_020, Start Line: 326, End Line: 334 
Function: pow_related_errors_021, Start Line: 341, End Line: 349 
Function: pow_related_errors_022, Start Line: 356, End Line: 364 
Function: pow_related_errors_023, Start Line: 371, End Line: 379 
Function: pow_related_errors_024, Start Line: 386, End Line: 394 
Function: pow_related_errors_025, Start Line: 401, End Line: 409 
Function: pow_related_errors_026, Start Line: 416, End Line: 424 
Function: pow_related_errors_027, Start Line: 431, End Line: 439 
Function: pow_related_errors_028, Start Line: 446, End Line: 454 
Function: pow_related_errors_029, Start Line: 461, End Line: 469 
Function: pow_related_errors_main, Start Line: 476, End Line: 623 
